2024-12-05 11:34:08 - Ticketing System Started
2024-12-05 11:34:11 - Config file successfully loaded.
2024-12-05 11:34:14 - TicketPool initialized with max capacity: 15
2024-12-05 11:34:14 - Vendor thread 1 started.
2024-12-05 11:34:14 - Vendor thread 2 started.
2024-12-05 11:34:14 - Vendor thread 3 started.
2024-12-05 11:34:14 - Vendor thread 4 started.
2024-12-05 11:34:14 - Customer thread 1 started.
2024-12-05 11:34:14 - Customer thread 2 started.
2024-12-05 11:34:14 - Customer thread 3 started.
2024-12-05 11:34:14 - Customer thread 4 started.
2024-12-05 11:34:38 - Vendor-2 added ticket: 1-9, Tickets available: 15
2024-12-05 11:34:38 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:38 - Customer 3 bought ticket: 2-6, Tickets available: 14
2024-12-05 11:34:38 - Vendor-5 added ticket: 4-10, Tickets available: 15
2024-12-05 11:34:40 - Vendor-3 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:40 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:40 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:40 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Customer 1 bought ticket: 4-7, Tickets available: 14
2024-12-05 11:34:41 - Vendor-3 added ticket: 2-10, Tickets available: 15
2024-12-05 11:34:41 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Customer 2 bought ticket: 1-6, Tickets available: 14
2024-12-05 11:34:41 - Vendor-2 added ticket: 1-10, Tickets available: 15
2024-12-05 11:34:41 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Customer 3 bought ticket: 3-6, Tickets available: 14
2024-12-05 11:34:41 - Vendor-5 added ticket: 4-11, Tickets available: 15
2024-12-05 11:34:41 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:41 - Customer 4 bought ticket: 2-7, Tickets available: 14
2024-12-05 11:34:41 - Vendor-4 added ticket: 3-10, Tickets available: 15
2024-12-05 12:03:11 - Ticketing System Started
2024-12-05 12:03:48 - Invalid config file, exiting program.
2024-12-05 12:03:59 - Ticketing System Started
2024-12-05 12:04:11 - TicketPool initialized with max capacity: 8
2024-12-05 12:04:11 - Vendor thread 1 started.
2024-12-05 12:04:11 - Vendor thread 2 started.
2024-12-05 12:04:11 - Vendor thread 3 started.
2024-12-05 12:04:11 - Vendor thread 4 started.
2024-12-05 12:04:11 - Customer thread 1 started.
2024-12-05 12:04:11 - Customer thread 2 started.
2024-12-05 12:04:11 - Customer thread 3 started.
2024-12-05 12:04:11 - Customer thread 4 started.
2024-12-05 12:04:12 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:04:12 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:04:12 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:04:12 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:04:13 - Vendor-1 added ticket: 1-1, Tickets available: 3
2024-12-05 12:04:13 - Vendor-3 added ticket: 3-1, Tickets available: 3
2024-12-05 12:04:13 - Vendor-2 added ticket: 2-1, Tickets available: 3
2024-12-05 12:04:13 - Vendor-4 added ticket: 4-1, Tickets available: 4
2024-12-05 12:14:45 - Ticketing System Started
2024-12-05 12:14:55 - TicketPool initialized with max capacity: 10
2024-12-05 12:14:55 - Vendor thread 1 started.
2024-12-05 12:14:55 - Vendor thread 2 started.
2024-12-05 12:14:55 - Vendor thread 3 started.
2024-12-05 12:14:55 - Vendor thread 4 started.
2024-12-05 12:14:55 - Customer thread 1 started.
2024-12-05 12:14:55 - Customer thread 2 started.
2024-12-05 12:14:55 - Customer thread 3 started.
2024-12-05 12:14:55 - Customer thread 4 started.
2024-12-05 12:14:56 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:14:56 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:14:56 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:14:56 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
